htz,deg,m,m/s,target
0.0,0.3048,71.3,0.00266337,126.20100000000001
0.0,0.3048,71.3,0.00266337,125.20100000000001
0.0,0.3048,71.3,0.00266337,125.95100000000001
0.0,0.3048,71.3,0.00266337,127.59100000000001
0.0,0.3048,71.3,0.00266337,127.461
0.0,0.3048,71.3,0.00266337,125.571
0.0,0.3048,71.3,0.00266337,125.20100000000001
0.0,0.3048,71.3,0.00266337,123.061
0.0,0.3048,71.3,0.00266337,121.301
0.0,0.3048,71.3,0.00266337,119.541
0.0,0.3048,71.3,0.00266337,117.15100000000001
0.0,0.3048,71.3,0.00266337,115.391
0.0,0.3048,71.3,0.00266337,112.241
0.0,0.3048,71.3,0.00266337,108.721
0.0,0.3048,55.5,0.00283081,126.416
0.0,0.3048,55.5,0.00283081,127.696
0.0,0.3048,55.5,0.00283081,128.086
0.0,0.3048,55.5,0.00283081,126.96600000000001
0.0,0.3048,55.5,0.00283081,126.086
0.0,0.3048,55.5,0.00283081,126.986
0.0,0.3048,55.5,0.00283081,126.616
0.0,0.3048,55.5,0.00283081,124.10600000000001
0.0,0.3048,55.5,0.00283081,123.236
0.0,0.3048,55.5,0.00283081,121.10600000000001
0.0,0.3048,55.5,0.00283081,119.60600000000001
0.0,0.3048,55.5,0.00283081,117.976
0.0,0.3048,55.5,0.00283081,116.476
0.0,0.3048,55.5,0.00283081,113.07600000000001
0.0,0.3048,55.5,0.00283081,111.07600000000001
0.0,0.3048,39.6,0.00310138,118.12899999999999
0.0,0.3048,39.6,0.00310138,119.319
0.0,0.3048,39.6,0.00310138,122.779
0.0,0.3048,39.6,0.00310138,124.809
0.0,0.3048,39.6,0.00310138,126.959
0.0,0.3048,39.6,0.00310138,128.629
0.0,0.3048,39.6,0.00310138,129.099
0.0,0.3048,39.6,0.00310138,127.899
0.0,0.3048,39.6,0.00310138,125.499
0.0,0.3048,39.6,0.00310138,124.04899999999999
0.0,0.3048,39.6,0.00310138,123.689
0.0,0.3048,39.6,0.00310138,121.399
0.0,0.3048,39.6,0.00310138,120.319
0.0,0.3048,39.6,0.00310138,119.229
0.0,0.3048,39.6,0.00310138,117.789
0.0,0.3048,39.6,0.00310138,116.229
0.0,0.3048,39.6,0.00310138,114.779
0.0,0.3048,39.6,0.00310138,112.139
0.0,0.3048,39.6,0.00310138,109.619
0.0,0.3048,31.7,0.00331266,117.195
0.0,0.3048,31.7,0.00331266,118.595
0.0,0.3048,31.7,0.00331266,122.765
0.0,0.3048,31.7,0.00331266,125.045
0.0,0.3048,31.7,0.00331266,127.315
0.0,0.3048,31.7,0.00331266,129.095
0.0,0.3048,31.7,0.00331266,129.235
0.0,0.3048,31.7,0.00331266,127.365
0.0,0.3048,31.7,0.00331266,124.355
0.0,0.3048,31.7,0.00331266,122.365
0.0,0.3048,31.7,0.00331266,122.375
0.0,0.3048,31.7,0.00331266,120.755
0.0,0.3048,31.7,0.00331266,119.135
0.0,0.3048,31.7,0.00331266,118.145
0.0,0.3048,31.7,0.00331266,115.645
0.0,0.3048,31.7,0.00331266,113.775
0.0,0.3048,31.7,0.00331266,110.515
0.0,0.3048,31.7,0.00331266,108.265
1.5,0.3048,71.3,0.00336729,127.12200000000001
1.5,0.3048,71.3,0.00336729,125.992
1.5,0.3048,71.3,0.00336729,125.87200000000001
1.5,0.3048,71.3,0.00336729,126.632
1.5,0.3048,71.3,0.00336729,126.64200000000001
1.5,0.3048,71.3,0.00336729,124.512
1.5,0.3048,71.3,0.00336729,123.39200000000001
1.5,0.3048,71.3,0.00336729,121.762
1.5,0.3048,71.3,0.00336729,119.632
1.5,0.3048,71.3,0.00336729,118.12200000000001
1.5,0.3048,71.3,0.00336729,115.37200000000001
1.5,0.3048,71.3,0.00336729,113.492
1.5,0.3048,71.3,0.00336729,109.22200000000001
1.5,0.3048,71.3,0.00336729,106.58200000000001
1.5,0.3048,39.6,0.00392107,121.851
1.5,0.3048,39.6,0.00392107,124.001
1.5,0.3048,39.6,0.00392107,126.661
1.5,0.3048,39.6,0.00392107,128.311
1.5,0.3048,39.6,0.00392107,128.83100000000002
1.5,0.3048,39.6,0.00392107,127.581
1.5,0.3048,39.6,0.00392107,125.211
1.5,0.3048,39.6,0.00392107,122.211
1.5,0.3048,39.6,0.00392107,122.101
1.5,0.3048,39.6,0.00392107,120.98100000000001
1.5,0.3048,39.6,0.00392107,119.111
1.5,0.3048,39.6,0.00392107,117.741
1.5,0.3048,39.6,0.00392107,116.241
1.5,0.3048,39.6,0.00392107,114.751
1.5,0.3048,39.6,0.00392107,112.251
1.5,0.3048,39.6,0.00392107,108.991
1.5,0.3048,39.6,0.00392107,106.111
3.0,0.3048,71.3,0.00425727,127.564
3.0,0.3048,71.3,0.00425727,128.454
3.0,0.3048,71.3,0.00425727,129.35399999999998
3.0,0.3048,71.3,0.00425727,129.494
3.0,0.3048,71.3,0.00425727,129.004
3.0,0.3048,71.3,0.00425727,127.634
3.0,0.3048,71.3,0.00425727,126.514
3.0,0.3048,71.3,0.00425727,125.524
3.0,0.3048,71.3,0.00425727,124.024
3.0,0.3048,71.3,0.00425727,121.514
3.0,0.3048,71.3,0.00425727,120.264
3.0,0.3048,71.3,0.00425727,118.134
3.0,0.3048,71.3,0.00425727,116.134
3.0,0.3048,71.3,0.00425727,114.634
3.0,0.3048,71.3,0.00425727,110.22399999999999
3.0,0.3048,55.5,0.00452492,126.15899999999999
3.0,0.3048,55.5,0.00452492,128.179
3.0,0.3048,55.5,0.00452492,129.569
3.0,0.3048,55.5,0.00452492,129.94899999999998
3.0,0.3048,55.5,0.00452492,129.329
3.0,0.3048,55.5,0.00452492,127.329
3.0,0.3048,55.5,0.00452492,124.439
3.0,0.3048,55.5,0.00452492,123.069
3.0,0.3048,55.5,0.00452492,122.439
3.0,0.3048,55.5,0.00452492,120.189
3.0,0.3048,55.5,0.00452492,118.689
3.0,0.3048,55.5,0.00452492,117.309
3.0,0.3048,55.5,0.00452492,115.679
3.0,0.3048,55.5,0.00452492,113.79899999999999
3.0,0.3048,55.5,0.00452492,112.169
3.0,0.3048,39.6,0.00495741,123.31200000000001
3.0,0.3048,39.6,0.00495741,125.47200000000001
3.0,0.3048,39.6,0.00495741,127.632
3.0,0.3048,39.6,0.00495741,129.292
3.0,0.3048,39.6,0.00495741,129.55200000000002
3.0,0.3048,39.6,0.00495741,128.312
3.0,0.3048,39.6,0.00495741,125.802
3.0,0.3048,39.6,0.00495741,122.78200000000001
3.0,0.3048,39.6,0.00495741,120.53200000000001
3.0,0.3048,39.6,0.00495741,120.162
3.0,0.3048,39.6,0.00495741,118.92200000000001
3.0,0.3048,39.6,0.00495741,116.792
3.0,0.3048,39.6,0.00495741,115.792
3.0,0.3048,39.6,0.00495741,114.042
