Month,Passengers,label,model_run_ts,period,prophet,prophet_tuned,arima,sarima,ensemble_prophet_prophet_tuned,ensemble_prophet_arima,ensemble_prophet_sarima,ensemble_prophet_tuned_arima,ensemble_prophet_tuned_sarima,ensemble_arima_sarima,ensemble_prophet_prophet_tuned_arima,ensemble_prophet_prophet_tuned_sarima,ensemble_prophet_arima_sarima,ensemble_prophet_tuned_arima_sarima,ensemble_prophet_prophet_tuned_arima_sarima,winner_model,winner_forecast
1949-01-31,112.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1949-02-28,118.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1949-03-31,132.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1949-04-30,129.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1949-05-31,121.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1949-06-30,135.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1949-07-31,148.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1949-08-31,148.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1949-09-30,136.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1949-10-31,119.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1949-11-30,104.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1949-12-31,118.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1950-01-31,115.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1950-02-28,126.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1950-03-31,141.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1950-04-30,135.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1950-05-31,125.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1950-06-30,149.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1950-07-31,170.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1950-08-31,170.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1950-09-30,158.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1950-10-31,133.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1950-11-30,114.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1950-12-31,140.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1951-01-31,145.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1951-02-28,150.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1951-03-31,178.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1951-04-30,163.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1951-05-31,172.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1951-06-30,178.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1951-07-31,199.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1951-08-31,199.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1951-09-30,184.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1951-10-31,162.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1951-11-30,146.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1951-12-31,166.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1952-01-31,171.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1952-02-29,180.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1952-03-31,193.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1952-04-30,181.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1952-05-31,183.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1952-06-30,218.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1952-07-31,230.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1952-08-31,242.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1952-09-30,209.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1952-10-31,191.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1952-11-30,172.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1952-12-31,194.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1953-01-31,196.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1953-02-28,196.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1953-03-31,236.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1953-04-30,235.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1953-05-31,229.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1953-06-30,243.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1953-07-31,264.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1953-08-31,272.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1953-09-30,237.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
1953-10-31,211.0,type,2024-11-21 11:53:20.949215,TRAIN,,,,,,,,,,,,,,,,prophet_tuned,
